GEO_ID,NAME,H002001,H002001ERR,H002002,H002003,H002004,H002005,H002006
1400000US24005400400,"Census Tract 4004, Baltimore County, Maryland",2322,null,2322,2322,0,0,0
1400000US24005400500,"Census Tract 4005, Baltimore County, Maryland",873,null,873,873,0,0,0
1400000US24005400600,"Census Tract 4006, Baltimore County, Maryland",1295,T1_HU$1400000US24005400600,1295,1295,0,0,0
1400000US24005400701,"Census Tract 4007.01, Baltimore County, Maryland",1372,null,1372,1372,0,0,0
1400000US24005400702,"Census Tract 4007.02, Baltimore County, Maryland",693,null,693,693,0,0,0
1400000US24005400800,"Census Tract 4008, Baltimore County, Maryland",1132,null,1132,1132,0,0,0
1400000US24005400900,"Census Tract 4009, Baltimore County, Maryland",782,null,782,782,0,0,0
1400000US24005401000,"Census Tract 4010, Baltimore County, Maryland",871,null,871,871,0,0,0
1400000US24005401101,"Census Tract 4011.01, Baltimore County, Maryland",2484,null,2484,2484,0,0,0
1400000US24005401102,"Census Tract 4011.02, Baltimore County, Maryland",493,null,493,493,0,0,0
1400000US24005401200,"Census Tract 4012, Baltimore County, Maryland",1270,null,1270,1270,0,0,0
1400000US24005401301,"Census Tract 4013.01, Baltimore County, Maryland",1482,null,1482,1482,0,0,0
1400000US24005401302,"Census Tract 4013.02, Baltimore County, Maryland",1358,null,1358,1358,0,0,0
1400000US24005401400,"Census Tract 4014, Baltimore County, Maryland",594,null,594,594,0,0,0
1400000US24005401503,"Census Tract 4015.03, Baltimore County, Maryland",2732,null,2732,2732,0,0,0
1400000US24005401504,"Census Tract 4015.04, Baltimore County, Maryland",2244,null,2244,2244,0,0,0
1400000US24005401505,"Census Tract 4015.05, Baltimore County, Maryland",1617,null,1617,1617,0,0,0
1400000US24005401506,"Census Tract 4015.06, Baltimore County, Maryland",1839,null,1839,1839,0,0,0
1400000US24005401507,"Census Tract 4015.07, Baltimore County, Maryland",2170,null,2170,2170,0,0,0
1400000US24005402201,"Census Tract 4022.01, Baltimore County, Maryland",1144,null,415,415,0,729,0
1400000US24005402202,"Census Tract 4022.02, Baltimore County, Maryland",649,null,11,11,0,638,0
1400000US24005402302,"Census Tract 4023.02, Baltimore County, Maryland",1850,null,1850,1850,0,0,0
1400000US24005402303,"Census Tract 4023.03, Baltimore County, Maryland",2610,null,2610,2610,0,0,0
1400000US24005402304,"Census Tract 4023.04, Baltimore County, Maryland",1425,null,1425,1425,0,0,0
1400000US24005402305,"Census Tract 4023.05, Baltimore County, Maryland",841,null,841,841,0,0,0
1400000US24005402306,"Census Tract 4023.06, Baltimore County, Maryland",1630,null,1630,1630,0,0,0
1400000US24005402307,"Census Tract 4023.07, Baltimore County, Maryland",2585,null,2585,2585,0,0,0
1400000US24005402403,"Census Tract 4024.03, Baltimore County, Maryland",865,null,865,865,0,0,0
1400000US24005402404,"Census Tract 4024.04, Baltimore County, Maryland",2278,null,2278,2278,0,0,0
1400000US24005402405,"Census Tract 4024.05, Baltimore County, Maryland",1472,null,1472,1472,0,0,0
1400000US24005402406,"Census Tract 4024.06, Baltimore County, Maryland",2954,null,2954,2954,0,0,0
1400000US24005402407,"Census Tract 4024.07, Baltimore County, Maryland",603,null,603,603,0,0,0
1400000US24005402503,"Census Tract 4025.03, Baltimore County, Maryland",2004,null,2004,2004,0,0,0
1400000US24005402504,"Census Tract 4025.04, Baltimore County, Maryland",1545,null,1538,1538,0,7,0
1400000US24005402505,"Census Tract 4025.05, Baltimore County, Maryland",1388,null,1388,1388,0,0,0
1400000US24005402506,"Census Tract 4025.06, Baltimore County, Maryland",1505,null,1505,1505,0,0,0
1400000US24005402509,"Census Tract 4025.09, Baltimore County, Maryland",3952,null,3952,3952,0,0,0
1400000US24005402602,"Census Tract 4026.02, Baltimore County, Maryland",736,null,736,736,0,0,0
