OID_,Join_Count,TARGET_FID,JOIN_FID,FIPS,COUNTY,v023_rawvalue,OBJECTID,FIPS_1,State,County_1,Unemployed,FIPStext,Chg_Unempoyment,v058_rawvalue,Shape_length_1,Shape_area_1,Status,Score,Match_type,Match_addr,Addr_type,Facility_Name,Physical_Address,City,State_1,Zip_Code,Population,Construction,Capacity,Security_Level,Facility_Type,Shape_Length,Shape_Area,Chg_Assault,chpNotSchoolNotLabFor_e1018,Chg_Median_Income,Chg_Over15Percent,chpPopPovU18_e1018
42,1,41,29,13055,Chattooga County,4.090779060000000,27,13055,Georgia,Chattooga,10,13055,-6,57.559100518999998,0.000000000000000,0.000000000000000,M,100.000000000000000,A,"777 Underwood Dr, Trion, Georgia, 30753",StreetAddress,HAYS STATE PRISON,777 UNDERWOOD DRIVE,TRION,,30753,ADULT MALE FELONS,1989,1101,CLOSE,STATE PRISON,156877.277894802595256,1197801574.810196876525879,-8,-3.900000000000000,-1227.610000000000582,7.800113002997758,-1.500000000000000
43,0,42,-1,13083,Dade County,3.625815809000000,41,13083,Georgia,Dade,6,13083,-2,72.127697949999998,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,130572.774505416571628,671344655.825273275375366,3,-0.400000000000000,-6930.400000000001455,7.195220054635681,-8.900000000000000
44,1,43,3,13115,Floyd County,4.305009712000000,57,13115,Georgia,Floyd,7,13115,-3,36.822160158999999,0.000000000000000,0.000000000000000,M,100.000000000000000,A,"329 Blacks Bluff Rd SW, Rome, Georgia, 30161",PointAddress,FLOYD COUNTY CI,329 BLACKS BLUFF ROAD SW,ROME,,30161,ADULT MALE FELONS,1926,448,MEDIUM,CO. CORRECTIONAL INSTITUTION,240038.096475292026298,1970571159.998915433883667,80,-0.700000000000000,1788.459999999999127,3.800257561193451,1.900000000000000
45,1,44,27,13295,Walker County,3.869477332000000,146,13295,Georgia,Walker,7,13295,-3,43.853627320000001,0.000000000000000,0.000000000000000,M,100.000000000000000,A,"97 Kevin Ln, Rock Spring, Georgia, 30739",PointAddress,WALKER STATE PRISON,97 KEVIN LANE,ROCK SPRING,,30739,ADULT MALE FELONS,1972,444,MEDIUM,STATE PRISON,206089.774890188680729,1718754507.428823471069336,15,-3.900000000000000,520.630000000004657,9.404284836590634,6.700000000000000
46,0,45,-1,13015,Bartow County,3.779458424000000,8,13015,Georgia,Bartow,7,13015,-3,35.227692523000002,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,190393.820974056405248,1785750377.380825281143188,119,-0.500000000000000,2658.959999999999127,3.810166311076436,-1.800000000000000
47,0,46,-1,13129,Gordon County,3.761654699000000,64,13129,Georgia,Gordon,7,13129,-3,51.558366251999999,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,190723.646996500727255,1368922122.472294569015503,33,-0.700000000000000,-28.040000000000873,6.790006603560534,9.900000000000000
48,0,47,-1,13213,Murray County,5.312676410000000,105,13213,Georgia,Murray,7,13213,-2,70.127182800000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,232232.481391063774936,1334591321.144624233245850,-5,-3.300000000000000,5644.060000000004948,5.499932562681525,0.800000000000000
49,0,48,-1,13085,Dawson County,3.330564784000000,42,13085,Georgia,Dawson,6,13085,-3,80.309001343000006,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,160137.429086981777800,817106749.099450349807739,-8,-9.400000000000000,11417.680000000000291,2.400105374512188,-7.400000000000000
50,0,49,-1,13227,Pickens County,3.509697849000000,112,13227,Georgia,Pickens,6,13227,-2,73.103190513000001,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,152211.362247623037547,889089508.959030032157898,-47,-4.500000000000000,8930.450000000004366,8.799745226126264,-4.700000000000000
51,0,50,-1,13111,Fannin County,3.943963594000000,55,13111,Georgia,Fannin,6,13111,-2,100.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,221438.599325817602221,1512253232.569804668426514,85,13.300000000000001,5395.450000000004366,6.993810455101134,-6.600000000000000
