OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1270,Census Tract 1509 - Location 17,764,17,1,,10.33975247,2.903513463,,,,,,0.042465552
1272,Census Tract 1510 - Location 17,765,17,1,,13.2545769,4.822467932,,,,,,0.057191484
1274,Census Tract 1511 - Location 17,766,17,1,,12.34001374,4.361673911,,,,,,0.048034183
1276,Census Tract 1512 - Location 17,767,17,1,,11.03932231,3.408974335,,,,,,0.044047293
1278,Census Tract 1513 - Location 17,768,17,1,,12.7847461,3.80541882,,,,,,0.051720194
1280,Census Tract 1601 - Location 17,769,17,1,,5.590933604,1.325413123,,,,,,0.016090546
1282,Census Tract 1602 - Location 17,770,17,1,,5.113857838,1.23425564,,,,,,0.013276136
1284,Census Tract 1603 - Location 17,771,17,1,,4.145534417,0.96633283,,,,,,0.011276837
1286,Census Tract 1604 - Location 17,772,17,1,,3.573959831,0.813019149,,,,,,0.00973281
1288,Census Tract 1605 - Location 17,773,17,1,,5.147837464,1.138371798,,,,,,0.012791183
1290,Census Tract 1606 - Location 17,774,17,1,,5.678607761,1.451540287,,,,,,0.017103493
1292,Census Tract 1607 - Location 17,775,17,1,,8.1904161,2.139613189,,,,,,0.023623922
1294,Census Tract 1608.01 - Location 17,776,17,1,,8.05422878,2.538495137,,,,,,0.036274758
1296,Census Tract 1608.02 - Location 17,777,17,1,,8.548420053,2.418633644,,,,,,0.03274661
1298,Census Tract 1701 - Location 2,778,2,1,,4.875841905,1.157111874,,,,,,0.009215705
1299,Census Tract 1702 - Location 2,779,2,1,,4.968162102,1.148108398,,,,,,0.012362895
1300,Census Tract 1703 - Location 2,780,2,1,,5.151546127,1.109405028,,,,,,0.010987203
1301,Census Tract 1803 - Location 2,781,2,1,,3.599441528,0.765216827,,,,,,0.008294714
1302,Census Tract 1901 - Location 17,782,17,1,,2.999961156,0.651234834,,,,,,0.007819913
1304,Census Tract 1902 - Location 17,783,17,1,,4.248261721,0.945090978,,,,,,0.009481919
1306,Census Tract 1903 - Location 17,784,17,1,,2.906191976,0.652210011,,,,,,0.006192281
1308,Census Tract 2001 - Location 17,785,17,1,,1.660515742,0.257416318,,,,,,0.002939048
1310,Census Tract 2002 - Location 17,786,17,1,,4.919534893,1.191183896,,,,,,0.010055325
1312,Census Tract 2003 - Location 17,787,17,1,,1.789577683,0.3392992,,,,,,0.004437018
1314,Census Tract 2004 - Location 17,788,17,1,,2.540677008,0.60744026,,,,,,0.007247945
1316,Census Tract 2005 - Location 17,789,17,1,,3.882033616,0.902749064,,,,,,0.00919577
1318,Census Tract 2006 - Location 17,790,17,1,,6.495423447,1.554947795,,,,,,0.017977067
1320,Census Tract 2007.01 - Location 17,791,17,1,,9.538272962,2.814464075,,,,,,0.031628366
1322,Census Tract 2007.02 - Location 17,792,17,1,,5.750358652,1.651485986,,,,,,0.0267214
1324,Census Tract 2008 - Location 17,793,17,1,,7.41414822,2.213119876,,,,,,0.031321025
1326,Census Tract 2101 - Location 2,794,2,1,,4.827943081,1.257533144,,,,,,0.01097762
1327,Census Tract 2102 - Location 17,795,17,1,,4.646066958,1.199604062,,,,,,0.014490448
1329,Census Tract 2201 - Location 2,796,2,1,,5.041868412,0.976239772,,,,,,0.010227111
1330,Census Tract 2301 - Location 2,797,2,1,,6.229119723,1.470366898,,,,,,0.014496026
1331,Census Tract 2302 - Location 2,798,2,1,,6.733505118,1.811951045,,,,,,0.018040623
1332,Census Tract 2303 - Location 2,799,2,1,,7.421004107,2.866793431,,,,,,0.024095807
1333,Census Tract 2401 - Location 2,800,2,1,,8.558758742,3.835239544,,,,,,0.040543154
1334,Census Tract 2402 - Location 2,801,2,1,,8.545451507,3.740830705,,,,,,0.025908476
1335,Census Tract 2403 - Location 2,802,2,1,,7.835240794,1.78513085,,,,,,0.018773908
1336,Census Tract 2404 - Location 12,803,12,1,,9.984048004,5.560008561,,,,,,0.052898559
1337,Census Tract 2501.01 - Location 17,804,17,1,,10.45111336,3.410877026,,,,,,0.052465202
1339,Census Tract 2501.02 - Location 17,805,17,1,,9.653213582,2.891683243,,,,,,0.042516866
1341,Census Tract 2501.03 - Location 17,806,17,1,,8.60267464,2.547705625,,,,,,0.034638164
1343,Census Tract 2502.03 - Location 2,807,2,1,,10.17891205,3.933982039,,,,,,0.040690146
1344,Census Tract 2502.04 - Location 2,808,2,1,,12.49181133,3.881559428,,,,,,0.0410244
1345,Census Tract 2502.05 - Location 2,809,2,1,,7.404025349,3.171812443,,,,,,0.040361585
1346,Census Tract 2502.06 - Location 17,810,17,1,,8.39925699,2.391772618,,,,,,0.02450786
1348,Census Tract 2502.07 - Location 2,811,2,1,,9.774963379,3.093822479,,,,,,0.033855821
1349,Census Tract 2503.01 - Location 2,812,2,1,,9.508148193,2.818040848,,,,,,0.029150651
1350,Census Tract 2503.03 - Location 17,813,17,1,,7.023283133,1.825708624,,,,,,0.021108919
1352,Census Tract 2504.01 - Location 12,814,12,1,,11.13605323,6.484626811,,,,,,0.076139579
1353,Census Tract 2504.02 - Location 12,815,12,1,,14.05218948,7.182449127,,,,,,0.076855807
1354,Census Tract 2505 - Location 19,816,19,1,,13.52471946,10.74228843,,,,,,0.096908844
1355,Census Tract 2601.01 - Location 12,817,12,1,,14.06373669,5.442369713,,,,,,0.058235677
1356,Census Tract 2601.02 - Location 12,818,12,1,,10.70340594,4.325367609,,,,,,0.0470116
1357,Census Tract 2602.01 - Location 12,819,12,1,,9.893281531,3.893179463,,,,,,0.042156624
1358,Census Tract 2602.02 - Location 12,820,12,1,,10.17445185,3.952439959,,,,,,0.038135861
1359,Census Tract 2602.03 - Location 12,821,12,1,,9.650757571,3.476826028,,,,,,0.033756982
1360,Census Tract 2603.01 - Location 11,822,11,1,,8.960001814,2.684992141,,,,,,0.035765008
1361,Census Tract 2603.02 - Location 11,823,11,1,,9.649909529,2.884688656,,,,,,0.034577868
1362,Census Tract 2603.03 - Location 12,824,12,1,,8.337888895,2.794392749,,,,,,0.026886053
1363,Census Tract 2604.01 - Location 12,825,12,1,,7.149131325,2.35171569,,,,,,0.019062794
1364,Census Tract 2604.02 - Location 12,826,12,1,,7.518143435,2.895677881,,,,,,0.030597746
1365,Census Tract 2604.03 - Location 12,827,12,1,,5.86732938,2.733067509,,,,,,0.032117468
1366,Census Tract 2604.04 - Location 12,828,12,1,,5.639911437,1.828932018,,,,,,0.017121721
1367,Census Tract 2605.01 - Location 12,829,12,1,,2.142214566,0.487723,,,,,,0.007628416
1368,Census Tract 2606.04 - Location 12,830,12,1,,3.950386766,1.085233183,,,,,,0.01391035
1369,Census Tract 2606.05 - Location 12,831,12,1,,7.291906221,1.772691808,,,,,,0.018547538
1370,Census Tract 2607 - Location 12,832,12,1,,2.811576528,0.703481988,,,,,,0.009069601
